scenario,acnum,pair,callsign,altitude,t2,t1,partner
1,1,1,BA89,39000,38,0,QR29
1,2,1,QR29,39300,38,0,BA89
1,1,2,VA51,40100,191,105,MH52
1,2,2,MH52,40000,191,105,VA51
1,1,3,QF87,36600,284,186,QF63
1,2,3,QF63,36400,284,186,QF87
2,1,4,MH19,36000,245,80,CX84
2,2,4,CX84,35900,245,80,MH19
2,1,5,SQ08,35000,123,0,JQ65
2,2,5,JQ65,35000,123,0,SQ08
2,1,6,GA34,34000,263,171,GA60
2,2,6,GA60,34000,263,171,GA34
3,1,7,NA07,40000,166,30,TT32
3,2,7,TT32,40000,166,30,NA07
3,1,8,EK83,30000,49,0,GA26
3,2,8,GA26,29600,49,0,EK83
3,1,9,MH06,38000,261,142,QR40
3,2,9,QR40,37700,261,142,MH06
4,1,10,CX27,32000,44,0,MH12
4,2,10,MH12,32300,44,0,CX27
4,1,11,VA37,34000,257,150,MH75
4,2,11,MH75,34500,257,150,VA37
4,1,12,GA84,35000,253,95,QR10
4,2,12,QR10,35000,253,95,GA84
5,1,13,MH23,34000,90,0,MH62
5,2,13,MH62,34900,90,0,MH23
5,1,14,QF76,36000,244,177,TT70
5,2,14,TT70,36000,244,177,QF76
5,1,15,QF01,37000,222,40,GA34
5,2,15,GA34,37000,222,40,QF01
6,1,16,NA19,34000,258,144,CX41
6,2,16,CX41,33800,258,144,NA19
6,1,17,GA01,33000,54,0,CX16
6,2,17,CX16,32900,54,0,GA01
6,1,18,TT52,34000,260,85,BA81
6,2,18,BA81,34000,260,85,TT52
7,1,19,SQ83,40000,274,180,GA26
7,2,19,GA26,40500,274,180,SQ83
7,1,20,SQ59,40000,208,100,GA01
7,2,20,GA01,39200,208,100,SQ59
7,1,21,MH17,36000,72,0,QF03
7,2,21,QF03,36900,72,0,MH17
8,1,22,CX24,38500,56,0,JQ15
8,2,22,JQ15,39000,56,0,CX24
8,1,23,QF66,39000,213,141,CX04
8,2,23,CX04,38600,213,141,QF66
8,1,24,QF09,32000,223,25,TT20
8,2,24,TT20,32000,223,25,QF09
9,1,25,VA03,32000,80,0,VA50
9,2,25,VA50,31900,80,0,VA03
9,1,26,TT62,35000,237,162,QF93
9,2,26,QF93,34400,237,162,TT62
9,1,27,TT98,38000,288,100,BA96
9,2,27,BA96,37400,288,100,TT98
10,1,28,GA49,39000,256,163,MH60
10,2,28,MH60,39300,256,163,GA49
10,1,29,CX37,31000,183,75,SQ23
10,2,29,SQ23,31100,183,75,CX37
10,1,30,SQ86,34000,81,0,GA64
10,2,30,GA64,33600,81,0,SQ86
11,1,31,TT31,39000,84,0,MH64
11,2,31,MH64,39900,84,0,TT31
11,1,32,BA85,37000,277,180,GA06
11,2,32,GA06,36100,277,180,BA85
11,1,33,VA38,39000,213,140,QF13
11,2,33,QF13,39400,213,140,VA38
12,1,34,VA56,29700,57,0,GA18
12,2,34,GA18,29800,57,0,VA56
12,1,35,NA80,37600,287,175,JQ70
12,2,35,JQ70,37000,287,175,NA80
12,1,36,QR89,42000,204,105,SQ41
12,2,36,SQ41,42100,204,105,QR89
13,1,37,GA48,32000,80,0,GA93
13,2,37,GA93,32000,80,0,GA48
13,1,38,BA90,38000,220,35,BA58
13,2,38,BA58,38000,220,35,BA90
13,1,39,BA12,39000,280,180,QF84
13,2,39,QF84,38900,280,180,BA12
14,1,40,TT19,34000,103,0,CX01
14,2,40,CX01,33800,103,0,TT19
14,1,41,NA16,33500,278,185,QF29
14,2,41,QF29,32900,278,185,NA16
14,1,42,GA70,31000,191,75,GA84
14,2,42,GA84,31800,191,75,GA70
15,1,43,JQ17,32000,254,128,EK68
15,2,43,EK68,31400,254,128,JQ17
15,1,44,BA71,36000,269,190,EK62
15,2,44,EK62,35800,269,190,BA71
15,1,45,QF89,39000,118,10,MH69
15,2,45,MH69,39400,118,10,QF89
16,1,46,JQ80,38000,82,0,NA65
16,2,46,NA65,37800,82,0,JQ80
16,1,47,QR25,36000,227,107,CX77
16,2,47,CX77,35400,227,107,QR25
16,1,48,EK59,34000,273,192,JQ22
16,2,48,JQ22,33500,273,192,EK59
