Participant,Scenario,intData_HandoffTime,intData_HandoffMisses,intData_AcceptTime,intData_AcceptMisses,intData_CDT,intData_ConfMisses,intData_FalseAlarms
24,1,2836.4,0,3023.813333,1,18455.9,1,0
24,2,1661.36,1,6506.553333,0,19269.65,0,0
24,3,3263.65,0,6431.905,1,10416.8,1,0
24,4,2655.725,1,6265.95,2,22581.45,0,0
24,5,2329.866667,0,5594.843333,1,nan,2,0
25,1,9903.4,1,2791.556667,1,nan,2,0
25,2,3167.715,0,7748.693333,0,19741.2,1,0
25,3,3991.4,0,3792.045,1,nan,2,0
25,4,3759.426667,0,3531.27,1,12625,1,0
25,5,2129.033333,0,5832.06,1,nan,2,0
26,1,5203,0,3331.116667,1,nan,2,0
26,2,4768.545,0,6696.966667,0,5912.34,1,0
26,3,4629.85,0,5273.833333,0,13328.3,1,0
26,4,4629.16,0,4229.48,2,17293.4,0,0
26,5,1555.966667,0,4917.41,1,9146.99,1,0
27,1,1821.05,0,2515.286667,1,nan,2,0
27,2,5120.36,0,3404.376667,0,18300.25,0,0
27,3,1831.35,0,2780.58,0,15382.015,0,0
27,4,3240.893333,0,2525.59,1,12652.06,0,0
27,5,2646.633333,0,6090.85,1,10562.6,1,0
28,1,2733.95,0,2254.3,1,10360.305,0,0
28,2,2209.73,0,6189.663333,0,15974.1,0,0
28,3,5465.3,0,4183.44,1,15890.05,0,0
28,4,4402.69,0,3960.28,2,12051.875,0,0
28,5,2557.366667,0,3898.41,2,nan,2,0
29,1,2439.1,0,3935.513333,1,14217.25,0,0
29,2,1495.91,0,4655.73,0,7814.14,1,0
29,3,2535.7,0,4262.985,1,18726.5,1,0
29,4,1936.973333,0,5983.29,1,7872.99,1,0
29,5,4358.333333,0,4048.385,2,14314.4,0,0
30,1,8197.2,1,2448.51,1,nan,2,0
30,2,2707.51,0,7192.206667,0,17427.6,1,0
30,3,3057.25,0,3233.74,1,7427.35,1,0
30,4,2753.886667,0,2983.485,1,9846.53,1,0
30,5,2279.066667,0,5716.916667,1,nan,2,0
31,1,2779,0,4002.136667,1,11994.1,1,1
31,2,2568.04,0,4575.23,0,nan,2,0
31,3,3764.75,0,5703.31,1,15070.48,0,0
31,4,3725.883333,0,2752.195,1,14583.55,0,0
31,5,2599.633333,0,3827.83,2,16362.3,1,0
32,1,2332.05,0,2915.156667,1,nan,2,0
32,2,4497.455,0,4698.026667,0,17459.8,1,0
32,3,1758.35,0,3895.316667,0,8808.46,1,0
32,4,3228.986667,0,3091.3,1,8995.31,0,0
32,5,2096.466667,0,6436,1,11220.8,1,0
33,1,0,2,5036.353333,1,15702.9,1,0
33,2,2804.95,1,5434.526667,0,15268.48,0,0
33,3,6905.95,0,4629.95,2,13289.05,0,0
33,4,3525.636667,0,5739.585,1,nan,2,0
33,5,3569.766667,0,4143.516667,1,17264.9,1,0
34,1,1732.5,0,2764.21,1,6064.8,0,0
